"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Monta Ellis",5500,"Bkn@Ind 07:00PM ET",27.135,"Ind"
"SF","Wilson Chandler",5500,"Den@Uta 09:00PM ET",0,"Den"
"SF","Marcus Morris",5500,"Det@Chi 08:00PM ET",26.963,"Det"
"SF","Jae Crowder",5500,"Atl@Bos 07:30PM ET",26.019,"Bos"
"SF","Andre Iguodala",5400,"Mil@GS 10:30PM ET",23.106,"GS"
"SG","Raymond Felton",5400,"Mem@Dal 08:30PM ET",21.183,"Dal"
"SF","C.J. Miles",5400,"Bkn@Ind 07:00PM ET",25.143,"Ind"
"PG","Goran Dragic",5400,"Tor@Mia 08:00PM ET",24.792,"Mia"
"PG","Emmanuel Mudiay",5400,"Den@Uta 09:00PM ET",25.511,"Den"
"SF","Matt Barnes",5300,"Mem@Dal 08:30PM ET",20.176,"Mem"
"PG","Darren Collison",5300,"Sac@Min 08:00PM ET",23.550,"Sac"
"SG","Khris Middleton",5300,"Mil@GS 10:30PM ET",26.463,"Mil"
"C","Gorgui Dieng",5300,"Sac@Min 08:00PM ET",21.070,"Min"
"PF","Luis Scola",5200,"Tor@Mia 08:00PM ET",20.510,"Tor"
"PG","George Hill",5200,"Bkn@Ind 07:00PM ET",25.357,"Ind"
"PF","Ersan Ilyasova",5200,"Det@Chi 08:00PM ET",20.639,"Det"
"SG","Kentavious Caldwell-Pope",5200,"Det@Chi 08:00PM ET",25.120,"Det"
"PG","Tony Parker",5100,"LAC@SA 08:00PM ET",24.663,"SA"
"C","Joakim Noah",5100,"Det@Chi 08:00PM ET",22.886,"Chi"
"SF","Jeff Green",5100,"Mem@Dal 08:30PM ET",19.685,"Mem"
"PG","Jrue Holiday",5100,"NO@Pho 10:30PM ET",23.868,"NO"
"C","Mason Plumlee",5100,"Por@Orl 07:00PM ET",26.759,"Por"
"PF","Jabari Parker",5100,"Mil@GS 10:30PM ET",19.631,"Mil"
"SF","Joe Johnson",5000,"Bkn@Ind 07:00PM ET",23.390,"Bkn"
"SF","Al-Farouq Aminu",5000,"Por@Orl 07:00PM ET",25.037,"Por"
"SG","Alec Burks",5000,"Den@Uta 09:00PM ET",24.146,"Uta"
"C","Alex Len",5000,"NO@Pho 10:30PM ET",18.093,"Pho"
"PG","Dennis Schroder",5000,"Atl@Bos 07:30PM ET",21.991,"Atl"
"C","Jusuf Nurkic",5000,"Den@Uta 09:00PM ET",0,"Den"
"SG","Jamal Crawford",4900,"LAC@SA 08:00PM ET",19.317,"LAC"
