,Position,Name,teamAbbrev,NBAAbbrev
151,SG,Dion Waiters,OKC,OKC
152,PG,Tony Wroten,Phi,PHI
153,SF,T.J. Warren,Pho,PHO
154,PF,David Lee,Bos,BOS
155,PF,Nene Hilario,Was,WAS
156,SF,P.J. Tucker,Pho,PHO
157,PG,Ramon Sessions,Was,WAS
158,C,Robin Lopez,NY,NYK
159,C,Steven Adams,OKC,OKC
160,PF,David West,SA,SAS
161,SG,Danny Green,SA,SAS
162,PF,John Henson,Mil,MIL
163,C,Meyers Leonard,Por,POR
164,SG,Tyler Johnson,Mia,MIA
165,SF,Stanley Johnson,Det,DET
166,PF,Kris Humphries,Was,WAS
167,PF,Josh Smith,LAC,LAC
168,SG,Garrett Temple,Was,WAS
169,PG,Patty Mills,SA,SAS
170,SG,Langston Galloway,NY,NYK
171,SF,Justise Winslow,Mia,MIA
172,PG,Devin Harris,Dal,DAL
173,C,Spencer Hawes,Cha,CHA
174,SG,Hollis Thompson,Phi,PHI
175,SF,Doug McDermott,Chi,CHI
176,SG,Austin Rivers,LAC,LAC
177,C,Frank Kaminsky,Cha,CHA
178,SF,Shabazz Muhammad,Min,MIN
179,SF,Aaron Gordon,Orl,ORL
180,PF,Boris Diaw,SA,SAS
181,SG,Brandon Rush,GS,GSW
182,PG,Greivis Vasquez,Mil,MIL
183,PF,Nemanja Bjelica,Min,MIN
184,SF,Tony Snell,Chi,CHI
185,SG,Nik Stauskas,Phi,PHI
186,PF,Channing Frye,Orl,ORL
187,SF,Tony Allen,Mem,MEM
188,PG,J.J. Barea,Dal,DAL
189,PG,Aaron Brooks,Chi,CHI
190,PG,Shaun Livingston,GS,GSW
191,SF,Lance Thomas,NY,NYK
192,C,Lavoy Allen,Ind,IND
193,C,Alexis Ajinca,NO,NOP
194,SF,Lance Stephenson,LAC,LAC
195,SF,Paul Pierce,LAC,LAC
196,C,Andrea Bargnani,Bkn,BKN
197,PG,Norris Cole,NO,NOP
198,C,Omer Asik,NO,NOP
199,PF,JaMychal Green,Mem,MEM
200,SG,Andre Roberson,OKC,OKC
201,PG,Kirk Hinrich,Chi,CHI
202,PG,Leandro Barbosa,GS,GSW
203,PF,Anthony Tolliver,Det,DET
204,PF,Jason Smith,Orl,ORL
205,SF,Dante Cunningham,NO,NOP
206,PF,Josh McRoberts,Mia,MIA
207,SF,Alonzo Gee,NO,NOP
208,SF,Wesley Johnson,LAC,LAC
209,PF,Brandan Wright,Mem,MEM
210,SG,Gerald Henderson,Por,POR
211,PF,Mike Scott,Atl,ATL
212,C,Nikola Pekovic,Min,MIN
213,C,Mike Muscala,Atl,ATL
214,PF,Kevin Seraphin,NY,NYK
215,SG,Markel Brown,Bkn,BKN
216,SF,Jonathon Simmons,SA,SAS
217,SF,Maurice Harkless,Por,POR
218,PG,Raul Neto,Uta,UTA
219,C,Myles Turner,Ind,IND
220,SG,Devin Booker,Pho,PHO
221,PF,Trey Lyles,Uta,UTA
222,PF,Kevin Garnett,Min,MIN
223,PG,Steve Blake,Det,DET
224,PG,Ronnie Price,Pho,PHO
225,SF,Tayshaun Prince,Min,MIN
226,PG,C.J. Watson,Orl,ORL
227,C,Ryan Hollins,Was,WAS
228,PF,Charlie Villanueva,Dal,DAL
229,SG,Anthony Morrow,OKC,OKC
230,SF,Luc Richard Mbah a Moute,LAC,LAC
231,C,Aron Baynes,Det,DET
232,PG,D.J. Augustin,OKC,OKC
233,SG,Wayne Ellington,Bkn,BKN
234,SF,Chase Budinger,Ind,IND
235,C,Marreese Speights,GS,GSW
236,C,DeJuan Blair,Was,WAS
237,C,Jeff Withey,Uta,UTA
238,PF,Kyle O'Quinn,NY,NYK
239,SG,Lamar Patterson,Atl,ATL
240,SF,Derrick Williams,NY,NYK
241,PF,Thomas Robinson,Bkn,BKN
242,PG,Kendall Marshall,Phi,PHI
243,PG,Shabazz Napier,Orl,ORL
244,SG,James Ennis,Mem,MEM
245,PF,Johnny O'Bryant,Mil,MIL
246,C,Dewayne Dedmon,Orl,ORL
247,SF,P.J. Hairston,Cha,CHA
248,SF,Jakarr Sampson,Phi,PHI
249,PF,Richaun Holmes,Phi,PHI
250,SF,Kyle Anderson,SA,SAS
251,PF,Noah Vonleh,Por,POR
252,SG,Rashad Vaughn,Mil,MIL
253,SG,Vince Carter,Mem,MEM
254,PG,Andre Miller,Min,MIN
255,PF,Matt Bonner,SA,SAS
256,C,Nick Collison,OKC,OKC
257,C,Chris Kaman,Por,POR
258,PF,Louis Amundson,NY,NYK
259,SG,Alan Anderson,Was,WAS
260,C,Chris Andersen,Mia,MIA
261,PF,Drew Gooden,Was,WAS
262,PF,Amar'e Stoudemire,Mia,MIA
263,SG,Rasual Butler,SA,SAS
264,SF,Mike Dunleavy,Chi,CHI
265,SF,Steve Novak,OKC,OKC
266,PF,Chris Copeland,Mil,MIL
267,C,Kendrick Perkins,NO,NOP
268,PF,Udonis Haslem,Mia,MIA
269,SG,Sasha Vujacic,NY,NYK
270,PG,Beno Udrih,Mia,MIA
271,PG,Toney Douglas,NO,NOP
272,PF,Carl Landry,Phi,PHI
273,PG,Brian Roberts,Cha,CHA
274,PF,Joel Anthony,Det,DET
275,PF,Jason Thompson,GS,GSW
276,PF,Tyler Hansbrough,Cha,CHA
277,SF,Quincy Pondexter,NO,NOP
278,SG,Jodie Meeks,Det,DET
279,PG,Donald Sloan,Bkn,BKN
280,SG,Sonny Weems,Pho,PHO
281,C,JaVale McGee,Dal,DAL
282,SG,Elijah Millsap,Uta,UTA
283,SF,Jeremy Evans,Dal,DAL
284,C,Tiago Splitter,Atl,ATL
285,SG,Justin Holiday,Atl,ATL
286,SG,E'Twaun Moore,Chi,CHI
287,SF,Kyle Singler,OKC,OKC
288,C,Cole Aldrich,LAC,LAC
289,SF,Luke Babbitt,NO,NOP
290,C,Tyler Zeller,Bos,BOS
291,SF,Chris Johnson,Uta,UTA
292,C,Miles Plumlee,Mil,MIL
293,SF,Willie Reed,Bkn,BKN
294,PG,Shelvin Mack,Atl,ATL
295,PF,Jonas Jerebko,Bos,BOS
296,SG,Ian Clark,GS,GSW
297,C,Shayne Whittington,Ind,IND
298,SF,Solomon Hill,Ind,IND
299,SG,C.J. Wilcox,LAC,LAC
300,SG,John Jenkins,Dal,DAL
301,PF,Cory Jefferson,Pho,PHO
302,PG,Troy Daniels,Cha,CHA
303,PG,Tim Frazier,Por,POR
304,C,Tibor Pleiss,Uta,UTA
305,PF,Cameron Bairstow,Chi,CHI
306,SG,Tim Hardaway Jr.,Atl,ATL
307,SF,Josh Huestis,OKC,OKC
308,PG,Jerian Grant,NY,NYK
309,SF,Reggie Bullock,Det,DET
310,PG,Pablo Prigioni,LAC,LAC
311,PG,Russ Smith,Mem,MEM
312,SG,Joe Ingles,Uta,UTA
313,C,Boban Marjanovic,SA,SAS
314,SF,Devyn Marble,Orl,ORL
315,PF,Adreian Payne,Min,MIN
316,SG,Joe Young,Ind,IND
317,C,Salah Mejri,Dal,DAL
318,PG,Ray McCallum,SA,SAS
319,PG,Bryce Cotton,Pho,PHO
